RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-730,2022,0,0,2,-2,7.902,10.0,8.2,8.8,5.72,8.3,8.25,5.0,8.7,8.0,,10.0,2012,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,8.3,reconstruido_2022,False,,False,5,,False
RA-731,2022,0,0,2,-2,7.151,9.0,8.5,6.9,5.044,7.2,7.083,5.0,7.3,7.2,,10.0,2012,Menina,2019,Ametista,Escola Pública,Ametista,Ágata,Ametista,,,,Não,Requer avaliação,2012,10,Fase 2 (5º e 6º ano),-2,2,7.3,reconstruido_2022,False,,False,5,,False
RA-732,2022,0,0,1,-1,7.347,9.0,7.9,8.8,5.47,7.2,7.5,5.0,7.5,6.8,,9.0,2013,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,7.2,reconstruido_2022,False,,False,5,,False
RA-733,2022,0,0,1,-1,6.684,9.5,8.5,5.6,5.706,5.1,6.917,5.0,6.0,4.2,,9.0,2013,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,5.1,reconstruido_2022,False,,False,5,,False
RA-734,2022,0,0,2,-2,6.952,9.5,7.2,5.6,5.786,7.2,7.417,5.0,8.0,6.5,,10.0,2012,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2012,10,Fase 2 (5º e 6º ano),-2,2,7.3,reconstruido_2022,False,,False,5,,False
RA-735,2022,0,0,2,-2,7.485,9.0,9.0,5.6,5.684,7.2,8.583,5.0,7.8,6.7,,10.0,2012,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Sim,Sem limitações,2012,10,Fase 2 (5º e 6º ano),-2,2,7.3,reconstruido_2022,False,,False,5,,False
RA-736,2022,0,0,2,-2,6.707,9.0,8.5,5.6,5.47,5.5,7.0,5.0,4.7,6.2,,10.0,2012,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2012,10,Fase 2 (5º e 6º ano),-2,2,5.4,reconstruido_2022,False,,False,5,,False
RA-737,2022,0,0,1,-1,8.058,9.5,9.2,5.6,5.746,9.0,9.167,5.0,8.5,9.5,,9.0,2013,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,9.0,reconstruido_2022,False,,False,5,,False
RA-738,2022,0,0,0,0,7.227,8.5,8.1,5.6,5.57,5.7,7.5,10.0,7.7,3.7,,8.0,2014,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,5.7,reconstruido_2022,False,,False,5,,False
RA-739,2022,0,0,0,0,6.82,6.4,7.3,5.6,5.634,5.9,7.083,10.0,6.0,5.8,,8.0,2014,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,5.9,reconstruido_2022,False,,False,5,,False
RA-740,2022,0,0,1,-1,7.218,8.5,9.0,5.6,5.68,7.2,7.5,5.0,7.3,7.0,,9.0,2013,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,7.2,reconstruido_2022,False,,False,5,,False
RA-741,2022,0,0,2,-2,6.896,9.5,8.4,5.6,4.826,6.2,7.417,5.0,7.3,5.2,,10.0,2012,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2012,10,Fase 2 (5º e 6º ano),-2,2,6.3,reconstruido_2022,False,,False,5,,False
RA-742,2022,0,0,1,-1,7.097,8.5,8.7,5.0,5.67,7.2,7.5,5.0,8.3,6.2,,9.0,2013,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,7.3,reconstruido_2022,False,,False,5,,False
RA-743,2022,0,0,1,-1,6.672,10.0,7.9,5.6,5.72,4.8,7.5,5.0,4.8,4.8,,9.0,2013,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,4.8,reconstruido_2022,False,,False,5,,False
RA-744,2022,0,0,0,0,7.742,9.5,9.7,5.6,5.52,6.2,7.5,10.0,6.0,6.3,,8.0,2014,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,6.2,reconstruido_2022,False,,False,5,,False
RA-745,2022,0,0,1,-1,7.382,9.0,8.5,5.6,5.52,8.1,7.75,5.0,8.5,7.7,,9.0,2013,Menino,2021,Ametista,Rede Decisão,,Topázio,Ametista,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,8.1,reconstruido_2022,False,,False,5,,False
RA-746,2022,0,0,0,0,7.656,8.0,9.1,5.6,5.526,7.2,7.417,10.0,7.7,6.7,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,7.2,reconstruido_2022,False,,False,5,,False
RA-747,2022,0,0,2,-2,7.676,10.0,7.6,7.5,5.626,8.8,7.917,5.0,8.2,9.4,,11.0,2011,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,8.8,reconstruido_2022,False,,False,5,,False
RA-748,2022,0,0,1,-1,8.084,10.0,9.0,7.5,5.64,9.1,8.25,5.0,9.6,8.6,,9.0,2013,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,9.1,reconstruido_2022,False,,False,5,,False
RA-749,2022,0,0,1,-1,7.484,9.5,7.7,7.5,5.34,8.8,7.25,5.0,9.5,8.1,,9.0,2013,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.8,reconstruido_2022,False,,False,5,,False
RA-750,2022,0,0,2,-2,6.344,9.5,8.9,4.4,2.806,6.8,5.167,5.0,7.1,6.4,,10.0,2012,Menino,2019,Ágata,Escola Pública,Ágata,Ágata,Ágata,,,,Não,Não indicado,2012,10,Fase 2 (5º e 6º ano),-2,2,6.8,reconstruido_2022,False,,False,5,,False
RA-751,2022,0,0,2,-2,5.246,8.5,5.8,7.5,,3.8,6.167,5.0,2.7,4.9,,11.0,2011,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,3.8,reconstruido_2022,True,,False,5,ipp_reconstruido_invalido,True
RA-752,2022,0,0,2,-2,8.197,10.0,9.0,7.5,5.636,9.5,8.417,5.0,9.6,9.4,,11.0,2011,Menina,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,9.5,reconstruido_2022,False,,False,5,,False
RA-753,2022,0,0,0,0,8.481,9.5,8.6,7.5,5.576,9.1,8.417,10.0,9.4,8.8,,8.0,2014,Menina,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,9.1,reconstruido_2022,False,,False,5,,False
RA-754,2022,0,0,1,-1,6.602,10.0,5.8,4.4,5.386,7.9,6.917,5.0,7.8,8.1,,9.0,2013,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não indicado,2013,9,Fase 1 (4º ano),-1,1,7.9,reconstruido_2022,False,,False,5,,False
RA-755,2022,0,0,0,0,8.566,9.5,9.2,6.9,5.494,9.6,8.083,10.0,9.8,9.3,,8.0,2014,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,9.5,reconstruido_2022,False,,False,5,,False
RA-756,2022,0,0,1,-1,6.976,10.0,7.9,7.5,5.56,5.7,7.25,5.0,5.6,5.8,,9.0,2013,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,5.7,reconstruido_2022,False,,False,5,,False
RA-757,2022,0,0,1,-1,8.26,9.5,9.3,7.5,5.4,9.8,8.5,5.0,9.9,9.6,,9.0,2013,Menina,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Não atendido,2013,9,Fase 1 (4º ano),-1,1,9.7,reconstruido_2022,False,,False,5,,False
RA-758,2022,0,0,1,-1,7.911,9.0,9.1,7.5,6.544,8.1,8.333,5.0,8.0,8.2,,9.0,2013,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.1,reconstruido_2022,False,,False,5,,False
RA-759,2022,0,0,2,-2,7.563,9.0,8.6,7.5,6.264,7.5,7.833,5.0,8.3,6.7,,10.0,2012,Menina,2021,Ametista,Escola Pública,,Ágata,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,7.5,reconstruido_2022,False,,False,5,,False
RA-760,2022,0,0,2,-2,8.172,9.0,9.2,7.5,6.386,8.8,8.917,5.0,9.3,8.2,,11.0,2011,Menino,2021,Topázio,Escola Pública,,Ametista,Topázio,,,,Sim,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,8.8,reconstruido_2022,False,,False,5,,False
RA-761,2022,0,0,1,-1,8.06,10.0,9.4,7.5,6.4,8.2,8.25,5.0,8.8,7.5,,9.0,2013,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.2,reconstruido_2022,False,,False,5,,False
RA-762,2022,0,0,3,-3,7.28,10.0,9.7,7.5,5.834,6.7,7.083,2.5,7.3,6.0,,12.0,2010,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2010,12,Fase 3 (7º e 8º ano),-3,3,6.7,reconstruido_2022,False,,False,5,,False
RA-763,2022,0,0,2,-2,7.402,9.5,9.7,7.5,5.286,6.5,7.167,5.0,6.3,6.7,,10.0,2012,Menina,2021,Ametista,Escola Pública,,Ágata,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,6.5,reconstruido_2022,False,,False,5,,False
RA-764,2022,0,0,0,0,8.004,9.0,8.8,7.5,5.606,7.5,7.667,10.0,7.2,7.8,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,7.5,reconstruido_2022,False,,False,5,,False
RA-765,2022,0,0,1,-1,6.902,8.5,9.3,7.5,5.986,4.3,7.417,5.0,5.0,3.7,,9.0,2013,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,4.3,reconstruido_2022,False,,False,5,,False
RA-766,2022,0,0,2,-2,8.185,10.0,9.5,7.5,6.284,8.7,8.333,5.0,8.5,8.8,,11.0,2011,Menina,2020,Topázio,Escola Pública,Ametista,Ametista,Topázio,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,8.7,reconstruido_2022,False,,False,5,,False
RA-767,2022,0,0,2,-2,7.511,9.5,9.0,7.5,5.944,7.0,7.583,5.0,7.3,6.7,,10.0,2012,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,7.0,reconstruido_2022,False,,False,5,,False
RA-768,2022,0,0,2,-2,7.646,9.0,10.0,7.5,5.594,7.1,7.583,5.0,7.0,7.2,,10.0,2012,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,7.1,reconstruido_2022,False,,False,5,,False
RA-769,2022,0,0,1,-1,7.598,10.0,7.5,7.5,5.68,7.9,8.5,5.0,9.6,6.2,,9.0,2013,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Não avaliado,2013,9,Fase 1 (4º ano),-1,1,7.9,reconstruido_2022,False,,False,5,,False
RA-770,2022,0,0,0,0,8.143,9.5,8.9,7.5,5.364,8.3,7.333,10.0,8.5,8.1,,7.0,2015,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não avaliado,2015,7,ALFA  (2º e 3º ano),0,0,8.3,reconstruido_2022,False,,False,5,,False
RA-771,2022,0,0,0,0,7.873,10.0,8.3,7.5,5.43,7.1,7.5,10.0,7.2,6.9,,7.0,2015,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não avaliado,2015,7,ALFA  (2º e 3º ano),0,0,7.0,reconstruido_2022,False,,False,5,,False
RA-772,2022,0,0,2,-2,6.994,9.0,5.4,7.5,4.74,9.2,7.25,5.0,9.3,9.2,,11.0,2011,Menino,2021,Ágata,Escola Pública,,Quartzo,Ágata,,,,Não,Não avaliado,2011,11,Fase 2 (5º e 6º ano),-2,2,9.2,reconstruido_2022,False,,False,5,,False
RA-773,2022,0,0,1,-1,6.922,10.0,6.8,5.0,5.254,8.1,7.083,5.0,9.3,6.8,,9.0,2013,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não indicado,2013,9,Fase 1 (4º ano),-1,1,8.1,reconstruido_2022,False,,False,5,,False
RA-774,2022,0,0,0,0,7.587,10.0,7.8,7.5,5.736,6.1,7.417,10.0,7.8,4.4,,8.0,2014,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não avaliado,2014,8,ALFA  (2º e 3º ano),0,0,6.1,reconstruido_2022,False,,False,5,,False
RA-775,2022,0,0,2,-2,5.79,7.9,5.7,4.4,4.966,5.7,6.417,5.0,5.5,5.8,,10.0,2012,Menino,2021,Quartzo,Escola Pública,,Ágata,Quartzo,,,,Não,Não indicado,2012,10,Fase 2 (5º e 6º ano),-2,2,5.7,reconstruido_2022,False,,False,5,,False
RA-776,2022,0,0,1,-1,3.898,,4.3,4.4,,1.6,6.333,5.0,0.0,3.3,,9.0,2013,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Requer avaliação,2013,9,Fase 1 (4º ano),-1,1,1.7,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-777,2022,0,0,0,0,7.096,8.0,7.7,7.5,5.66,5.2,7.0,10.0,6.5,4.0,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,5.3,reconstruido_2022,False,,False,5,,False
RA-778,2022,0,0,1,-1,7.432,10.0,6.7,7.5,6.554,7.1,8.833,5.0,6.0,8.2,,9.0,2013,Menina,2021,Ametista,Escola Pública,,Topázio,Ametista,,,,Sim,Não atendido,2013,9,Fase 1 (4º ano),-1,1,7.1,reconstruido_2022,False,,False,5,,False
RA-779,2022,0,0,2,-2,5.702,9.5,5.0,7.5,5.654,2.6,7.083,5.0,2.2,3.0,,10.0,2012,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,2.6,reconstruido_2022,False,,False,5,,False
RA-780,2022,0,0,1,-1,6.955,8.0,7.6,7.5,5.716,6.9,7.167,5.0,6.3,7.5,,9.0,2013,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,6.9,reconstruido_2022,False,,False,5,,False
RA-781,2022,0,0,1,-1,7.786,10.0,8.9,7.5,5.66,8.2,7.75,5.0,8.0,8.5,,9.0,2013,Menina,2021,Ametista,Escola Pública,,Topázio,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.3,reconstruido_2022,False,,False,5,,False
RA-782,2022,0,0,0,0,7.485,9.5,8.4,7.5,5.05,6.0,7.0,10.0,5.7,6.3,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,6.0,reconstruido_2022,False,,False,5,,False
RA-783,2022,0,0,0,0,6.996,9.5,5.8,7.5,5.526,6.0,6.917,10.0,4.7,7.3,,8.0,2014,Menino,2021,Ágata,Escola Pública,,Ametista,Ágata,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,6.0,reconstruido_2022,False,,False,5,,False
RA-784,2022,0,0,1,-1,8.34,9.5,10.0,7.5,6.5,8.2,9.25,5.0,7.8,8.5,,9.0,2013,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.2,reconstruido_2022,False,,False,5,,False
RA-785,2022,0,0,1,-1,7.642,9.0,8.6,7.5,5.586,8.4,7.667,5.0,8.8,8.0,,9.0,2013,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.4,reconstruido_2022,False,,False,5,,False
RA-786,2022,0,0,2,-2,7.004,9.0,9.5,5.6,5.106,6.0,7.167,5.0,6.3,5.8,,11.0,2011,Menino,2019,Ágata,Escola Pública,Quartzo,Quartzo,Ágata,,,,Não,Não indicado,2011,11,Fase 2 (5º e 6º ano),-2,2,6.1,reconstruido_2022,False,,False,5,,False
RA-787,2022,0,0,0,0,7.205,8.5,9.5,7.5,5.55,3.5,7.25,10.0,4.2,2.7,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,3.4,reconstruido_2022,False,,False,5,,False
RA-788,2022,0,0,0,0,8.264,10.0,9.3,5.6,5.106,8.0,8.667,10.0,7.8,8.2,,8.0,2014,Menino,2021,Topázio,Rede Decisão,,Topázio,Topázio,,,,Sim,Requer avaliação,2014,8,ALFA  (2º e 3º ano),0,0,8.0,reconstruido_2022,False,,False,5,,False
RA-789,2022,0,0,0,0,7.405,9.0,9.4,7.5,5.516,4.2,7.417,10.0,3.7,4.7,,7.0,2015,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2015,7,ALFA  (2º e 3º ano),0,0,4.2,reconstruido_2022,False,,False,5,,False
RA-790,2022,0,0,2,-2,7.504,9.0,8.9,7.5,5.306,7.8,7.417,5.0,8.5,7.2,,11.0,2011,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,7.8,reconstruido_2022,False,,False,5,,False
RA-791,2022,0,0,2,-2,7.507,9.5,8.7,7.5,5.67,6.5,8.5,5.0,6.3,6.7,,11.0,2011,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Não atendido,2011,11,Fase 2 (5º e 6º ano),-2,2,6.5,reconstruido_2022,False,,False,5,,False
RA-792,2022,0,0,1,-1,7.025,9.5,8.0,7.5,5.516,6.2,7.167,5.0,6.5,5.8,,9.0,2013,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,6.2,reconstruido_2022,False,,False,5,,False
RA-793,2022,0,0,2,-2,6.894,9.5,7.6,7.5,5.074,6.0,7.333,5.0,6.0,6.0,,10.0,2012,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,6.0,reconstruido_2022,False,,False,5,,False
RA-794,2022,0,0,0,0,7.335,9.5,8.9,7.5,5.684,4.1,7.333,10.0,3.7,4.5,,8.0,2014,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,4.1,reconstruido_2022,False,,False,5,,False
RA-795,2022,0,0,0,0,8.064,9.0,9.7,7.5,5.674,7.2,7.333,10.0,8.0,6.5,,8.0,2014,Menina,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,7.3,reconstruido_2022,False,,False,5,,False
RA-796,2022,0,0,2,-2,7.232,9.5,9.3,7.5,5.586,5.4,7.667,5.0,5.8,5.0,,10.0,2012,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,5.4,reconstruido_2022,False,,False,5,,False
RA-797,2022,0,0,2,-2,7.217,9.0,8.5,7.5,4.07,7.3,7.5,5.0,8.2,6.5,,10.0,2012,Menino,2021,Ametista,Escola Pública,,Ágata,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,7.3,reconstruido_2022,False,,False,5,,False
RA-798,2022,0,0,2,-2,7.049,8.0,8.3,7.5,5.456,6.3,7.667,5.0,7.0,5.7,,10.0,2012,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,6.3,reconstruido_2022,False,,False,5,,False
RA-799,2022,0,0,2,-2,7.676,8.0,9.6,7.5,5.626,7.8,7.917,5.0,8.5,7.2,,10.0,2012,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,7.8,reconstruido_2022,False,,False,5,,False
RA-800,2022,0,0,0,0,6.818,8.0,5.4,7.5,4.88,6.0,7.5,10.0,6.3,5.8,,8.0,2014,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2014,8,ALFA  (2º e 3º ano),0,0,6.1,reconstruido_2022,False,,False,5,,False
RA-801,2022,0,0,1,-1,6.644,7.0,6.6,7.5,5.14,6.8,7.5,5.0,7.2,6.3,,9.0,2013,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,6.8,reconstruido_2022,False,,False,5,,False
RA-802,2022,0,0,1,-1,7.831,9.0,9.0,7.5,5.744,8.2,8.333,5.0,9.0,7.5,,9.0,2013,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não atendido,2013,9,Fase 1 (4º ano),-1,1,8.3,reconstruido_2022,False,,False,5,,False
RA-803,2022,0,0,2,-2,6.98,10.0,7.2,7.5,5.666,6.2,7.417,5.0,6.5,6.0,,10.0,2012,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações,2012,10,Fase 2 (5º e 6º ano),-2,2,6.3,reconstruido_2022,False,,False,5,,False
RA-804,2022,0,0,2,-2,6.848,10.0,8.4,6.3,5.446,4.8,7.667,5.0,5.5,4.0,,10.0,2012,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2012,10,Fase 2 (5º e 6º ano),-2,2,4.8,reconstruido_2022,False,,False,5,,False
RA-805,2022,0,0,0,0,8.279,9.5,9.0,7.5,5.524,8.8,7.333,10.0,8.7,8.9,,8.0,2014,Menino,2021,Topázio,Escola Pública,,Ametista,Topázio,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,8.8,reconstruido_2022,False,,False,5,,False
RA-806,2022,0,0,0,0,7.561,9.5,7.3,7.5,4.976,6.6,7.917,10.0,5.0,8.2,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,6.6,reconstruido_2022,False,,False,5,,False
RA-807,2022,0,0,0,0,8.121,9.5,8.7,6.3,4.81,9.1,7.5,10.0,9.5,8.6,,8.0,2014,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,9.0,reconstruido_2022,False,,False,5,,False
RA-808,2022,0,0,0,0,8.361,10.0,9.1,6.3,4.71,9.2,8.0,10.0,9.7,8.8,,8.0,2014,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,9.3,reconstruido_2022,False,,False,5,,False
RA-809,2022,0,0,0,0,7.259,10.0,6.6,6.3,5.656,6.3,7.417,10.0,5.5,7.1,,7.0,2015,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2015,7,ALFA  (2º e 3º ano),0,0,6.3,reconstruido_2022,False,,False,5,,False
RA-810,2022,0,0,0,0,7.887,8.5,9.1,5.0,3.47,9.6,7.25,10.0,9.7,9.5,,8.0,2014,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não indicado,2014,8,ALFA  (2º e 3º ano),0,0,9.6,reconstruido_2022,False,,False,5,,False
RA-811,2022,0,0,1,-1,6.575,8.9,5.7,5.6,4.916,7.3,7.667,5.0,8.9,5.7,,9.0,2013,Menina,2021,Ágata,Escola Pública,,Ágata,Ágata,,,,Não,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,7.3,reconstruido_2022,False,,False,5,,False
RA-812,2022,0,0,0,0,7.497,9.0,8.1,5.6,4.504,7.5,7.333,10.0,8.3,6.6,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,7.4,reconstruido_2022,False,,False,5,,False
RA-813,2022,0,0,0,0,7.093,9.5,6.5,6.9,4.696,6.0,7.417,10.0,6.7,5.3,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,6.0,reconstruido_2022,False,,False,5,,False
RA-814,2022,0,0,1,-1,7.592,8.9,9.0,6.9,5.286,7.5,8.417,5.0,7.8,7.2,,9.0,2013,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Requer avaliação,2013,9,Fase 1 (4º ano),-1,1,7.5,reconstruido_2022,False,,False,5,,False
RA-815,2022,0,0,1,-1,6.81,10.0,7.9,5.6,4.7,6.5,7.0,5.0,7.7,5.3,,9.0,2013,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Requer avaliação,2013,9,Fase 1 (4º ano),-1,1,6.5,reconstruido_2022,False,,False,5,,False
RA-816,2022,0,0,1,-1,8.513,10.0,9.3,7.5,5.996,9.6,9.417,5.0,9.5,9.7,,9.0,2013,Menina,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Sem limitações,2013,9,Fase 1 (4º ano),-1,1,9.6,reconstruido_2022,False,,False,5,,False
RA-817,2022,0,0,0,0,7.819,10.0,8.7,6.3,5.456,7.1,7.417,10.0,7.7,6.5,,8.0,2014,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Requer avaliação,2014,8,ALFA  (2º e 3º ano),0,0,7.1,reconstruido_2022,False,,False,5,,False
RA-818,2022,0,0,0,0,7.483,9.5,7.3,7.5,5.83,6.2,7.5,10.0,6.5,5.8,,7.0,2015,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2015,7,ALFA  (2º e 3º ano),0,0,6.2,reconstruido_2022,False,,False,5,,False
RA-819,2022,0,0,0,0,7.741,10.0,7.9,7.5,5.044,7.2,7.333,10.0,8.0,6.5,,8.0,2014,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2014,8,ALFA  (2º e 3º ano),0,0,7.3,reconstruido_2022,False,,False,5,,False
