RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-16,2022,7,7,8,-1,6.112,7.9,8.3,5.0,6.954,3.5,6.333,5.0,7.0,0.0,,19.0,2003,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Requer avaliação,2003,19,Fase 8 (Universitários),-1,8,3.5,reconstruido_2022,False,,False,5,,False
RA-17,2022,7,7,8,-1,8.068,8.8,10.0,7.5,7.196,7.8,8.292,5.0,9.0,6.5,,20.0,2002,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido,2002,20,Fase 8 (Universitários),-1,8,7.8,reconstruido_2022,False,,False,5,,False
RA-18,2022,7,7,8,-1,7.226,6.3,8.7,6.3,5.51,9.0,6.875,5.0,9.0,9.0,,19.0,2003,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Requer avaliação,2003,19,Fase 8 (Universitários),-1,8,9.0,reconstruido_2022,False,,False,5,,False
RA-19,2022,7,7,8,-1,7.665,7.9,9.5,7.5,7.25,8.0,7.0,5.0,7.0,9.0,,19.0,2003,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações,2003,19,Fase 8 (Universitários),-1,8,8.0,reconstruido_2022,False,,False,5,,False
RA-20,2022,7,7,8,-1,7.535,7.1,10.0,6.3,7.016,7.8,7.167,5.0,9.0,6.5,,19.0,2003,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido,2003,19,Fase 8 (Universitários),-1,8,7.8,reconstruido_2022,False,,False,5,,False
RA-21,2022,7,7,8,-1,6.945,9.6,9.2,7.5,6.85,3.8,7.25,5.0,7.0,0.5,,18.0,2004,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido,2004,18,Fase 8 (Universitários),-1,8,3.8,reconstruido_2022,False,,False,5,,False
RA-22,2022,6,6,7,-1,7.474,8.3,7.4,8.1,7.674,6.6,8.833,5.0,9.0,3.1,7.8,17.0,2005,Menina,2019,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,6.7,reconstruido_2022,False,,False,5,,False
RA-23,2022,6,6,7,-1,7.677,8.3,8.2,8.1,8.458,6.7,8.556,5.0,7.2,4.7,8.2,17.0,2005,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,6.7,reconstruido_2022,False,,False,5,,False
RA-24,2022,6,6,7,-1,8.087,9.2,7.9,6.9,8.348,8.7,9.111,5.0,10.0,6.3,9.7,17.0,2005,Menina,2021,Topázio,Rede Decisão,,Topázio,Topázio,,,,Sim,Requer avaliação,2005,17,Fase 7 (3º EM),-1,7,8.6,reconstruido_2022,False,,False,5,,False
RA-25,2022,6,6,7,-1,7.979,8.3,8.3,8.8,7.956,6.9,9.667,5.0,9.2,3.8,7.7,17.0,2005,Menina,2021,Ametista,Escola Pública,,Topázio,Ametista,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,6.9,reconstruido_2022,False,,False,5,,False
RA-26,2022,6,6,7,-1,8.677,9.6,8.8,10.0,8.57,8.0,10.0,5.0,9.5,4.4,10.0,17.0,2005,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,8.0,reconstruido_2022,False,,False,5,,False
RA-27,2022,6,6,6,0,7.124,,7.6,8.1,,8.0,9.111,10.0,7.7,6.3,10.0,17.0,2005,Menino,2016,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações,2006,16,Fase 7 (3º EM),-1,6,8.0,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-28,2022,6,6,7,-1,6.242,7.9,6.1,7.5,7.154,5.0,6.333,5.0,8.2,1.5,5.3,17.0,2005,Menina,2019,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Requer avaliação,2005,17,Fase 7 (3º EM),-1,7,5.0,reconstruido_2022,False,,False,5,,False
RA-29,2022,6,6,7,-1,4.985,,4.0,8.8,,3.7,7.611,5.0,6.3,1.1,3.8,17.0,2005,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Requer avaliação,2005,17,Fase 7 (3º EM),-1,7,3.7,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-30,2022,6,6,6,0,7.605,8.8,6.4,7.5,7.284,7.5,7.333,10.0,8.5,4.4,9.7,16.0,2006,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),0,6,7.5,reconstruido_2022,False,,False,5,,False
RA-31,2022,6,6,7,-1,8.843,10.0,9.5,9.4,9.03,8.0,10.0,5.0,9.0,5.7,9.3,17.0,2005,Menina,2019,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,8.0,reconstruido_2022,False,,False,5,,False
RA-32,2022,6,6,6,0,7.37,8.8,5.2,8.8,7.612,6.1,7.944,10.0,5.7,3.6,8.9,16.0,2006,Menina,2018,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),0,6,6.1,reconstruido_2022,False,,False,5,,False
RA-33,2022,6,6,7,-1,4.952,,4.6,7.5,,4.8,6.0,5.0,9.0,1.6,3.7,17.0,2005,Menina,2020,Quartzo,Escola Pública,Ágata,Ametista,Quartzo,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,4.8,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-34,2022,6,6,7,-1,6.259,9.6,4.8,8.1,8.134,3.8,7.278,5.0,4.7,4.0,2.8,17.0,2005,Menino,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,3.8,reconstruido_2022,False,,False,5,,False
RA-35,2022,6,6,7,-1,8.965,10.0,9.6,9.4,9.05,8.5,10.0,5.0,9.0,7.1,9.3,17.0,2005,Menina,2019,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,8.5,reconstruido_2022,False,,False,5,,False
RA-36,2022,6,6,7,-1,7.876,9.2,9.0,6.9,7.972,6.9,8.944,5.0,8.5,4.3,7.8,17.0,2005,Menina,2019,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,6.8,reconstruido_2022,False,,False,5,,False
RA-37,2022,6,6,7,-1,4.95,,5.4,5.0,,5.9,5.222,5.0,2.3,5.3,10.0,17.0,2005,Menina,2019,Quartzo,Rede Decisão,Ametista,Ágata,Quartzo,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),-1,7,5.9,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-38,2022,6,6,7,-1,8.523,9.2,8.9,7.5,8.864,8.6,9.833,5.0,9.0,7.0,9.7,17.0,2005,Menina,2017,Topázio,Rede Decisão,Ametista,Ametista,Topázio,,,,Sim,Não indicado,2005,17,Fase 7 (3º EM),-1,7,8.6,reconstruido_2022,False,,False,5,,False
RA-39,2022,6,6,6,0,6.033,,4.8,6.9,,6.9,6.111,10.0,7.7,5.1,7.8,16.0,2006,Menina,2017,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Requer avaliação,2006,16,Fase 6 (2º EM),0,6,6.9,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-40,2022,5,5,6,-1,7.203,7.9,7.8,7.5,6.93,6.8,7.75,5.0,4.7,7.3,8.4,16.0,2006,Menina,2016,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,6.8,reconstruido_2022,False,,False,5,,False
