RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia
RA-1,2022,7,7,Fase 8 (Universitários),-1,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,2.7,3.5,6.0,19.0,2003,Menina,2016,Quartzo,Escola Pública,Ametista,Ametista,Quartzo,,,,Não,Requer avaliação
RA-2,2022,7,7,Fase 7 (3º EM),0,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,6.3,4.5,9.7,17.0,2005,Menina,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Sem limitações
RA-3,2022,7,7,Fase 7 (3º EM),0,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,5.8,4.0,6.9,17.0,2005,Menina,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações
RA-4,2022,7,7,Fase 7 (3º EM),0,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,2.8,3.5,8.7,17.0,2005,Menino,2017,Quartzo,Rede Decisão,Ametista,Ametista,Quartzo,,,,Não,Requer avaliação
RA-5,2022,7,7,Fase 7 (3º EM),0,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,7.0,2.9,5.7,17.0,2005,Menina,2016,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Requer avaliação
RA-6,2022,7,7,Fase 8 (Universitários),-1,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,2.3,5.3,2.3,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Ágata,Quartzo,,,,Não,Sem limitações
RA-7,2022,7,7,Fase 8 (Universitários),-1,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,8.2,5.7,9.0,18.0,2004,Menino,2017,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações
RA-8,2022,7,7,Fase 8 (Universitários),-1,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,1.2,0.7,2.9,20.0,2002,Menina,2018,Quartzo,Escola Pública,Quartzo,Ágata,Quartzo,,,,Não,Requer avaliação
RA-9,2022,7,7,Fase 8 (Universitários),-1,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,5.5,6.0,8.7,18.0,2004,Menina,2019,Topázio,Escola Pública,Ametista,Ametista,Topázio,,,,Sim,Sem limitações
RA-10,2022,7,7,Fase 8 (Universitários),-1,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,3.3,2.6,6.4,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Ágata,Quartzo,,,,Não,Requer avaliação
RA-11,2022,7,7,Fase 8 (Universitários),-1,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,1.8,2.5,4.5,18.0,2004,Menina,2016,Quartzo,Escola Pública,Quartzo,Ágata,Quartzo,,,,Não,Requer avaliação
RA-12,2022,7,7,Fase 7 (3º EM),0,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,2.7,1.1,0.7,17.0,2005,Menina,2020,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Sem limitações
RA-13,2022,7,7,Fase 8 (Universitários),-1,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,3.5,5.5,5.2,18.0,2004,Menino,2016,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Sem limitações
RA-14,2022,7,7,Fase 8 (Universitários),-1,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,8.0,0.0,,21.0,2001,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-15,2022,7,7,Fase 8 (Universitários),-1,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,8.0,6.5,,18.0,2004,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido
RA-16,2022,7,7,Fase 8 (Universitários),-1,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,7.0,0.0,,19.0,2003,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Requer avaliação
RA-17,2022,7,7,Fase 8 (Universitários),-1,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,9.0,6.5,,20.0,2002,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Não,Não atendido
RA-18,2022,7,7,Fase 8 (Universitários),-1,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,9.0,9.0,,19.0,2003,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Requer avaliação
RA-19,2022,7,7,Fase 8 (Universitários),-1,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,7.0,9.0,,19.0,2003,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações
RA-20,2022,7,7,Fase 8 (Universitários),-1,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,9.0,6.5,,19.0,2003,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido
RA-21,2022,7,7,Fase 8 (Universitários),-1,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,7.0,0.5,,18.0,2004,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-22,2022,6,6,Fase 7 (3º EM),-1,7.474,8.3,7.4,8.1,,6.7,8.833,5.0,9.0,3.1,7.8,17.0,2005,Menina,2019,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Sim,Sem limitações
RA-23,2022,6,6,Fase 7 (3º EM),-1,7.677,8.3,8.2,8.1,,6.7,8.556,5.0,7.2,4.7,8.2,17.0,2005,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Sim,Sem limitações
RA-24,2022,6,6,Fase 7 (3º EM),-1,8.087,9.2,7.9,6.9,,8.6,9.111,5.0,10.0,6.3,9.7,17.0,2005,Menina,2021,Topázio,Rede Decisão,,Topázio,Topázio,,,,Sim,Requer avaliação
RA-25,2022,6,6,Fase 7 (3º EM),-1,7.979,8.3,8.3,8.8,,6.9,9.667,5.0,9.2,3.8,7.7,17.0,2005,Menina,2021,Ametista,Escola Pública,,Topázio,Ametista,,,,Sim,Sem limitações
RA-26,2022,6,6,Fase 7 (3º EM),-1,8.677,9.6,8.8,10.0,,8.0,10.0,5.0,9.5,4.4,10.0,17.0,2005,Menino,2022,Topázio,Escola Pública,,,Topázio,,,,Sim,Sem limitações
RA-27,2022,6,6,Fase 7 (3º EM),-1,7.124,0.0,7.6,8.1,,8.0,9.111,5.0,7.7,6.3,10.0,17.0,2005,Menino,2016,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações
RA-28,2022,6,6,Fase 7 (3º EM),-1,6.242,7.9,6.1,7.5,,5.0,6.333,5.0,8.2,1.5,5.3,17.0,2005,Menina,2019,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-29,2022,6,6,Fase 7 (3º EM),-1,4.985,0.0,4.0,8.8,,3.7,7.611,5.0,6.3,1.1,3.8,17.0,2005,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Requer avaliação
RA-30,2022,6,6,Fase 6 (2º EM),0,7.605,8.8,6.4,7.5,,7.5,7.333,10.0,8.5,4.4,9.7,16.0,2006,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Sem limitações
RA-31,2022,6,6,Fase 7 (3º EM),-1,8.843,10.0,9.5,9.4,,8.0,10.0,5.0,9.0,5.7,9.3,17.0,2005,Menina,2019,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Sim,Sem limitações
RA-32,2022,6,6,Fase 6 (2º EM),0,7.37,8.8,5.2,8.8,,6.1,7.944,10.0,5.7,3.6,8.9,16.0,2006,Menina,2018,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Sem limitações
RA-33,2022,6,6,Fase 7 (3º EM),-1,4.952,0.0,4.6,7.5,,4.8,6.0,5.0,9.0,1.6,3.7,17.0,2005,Menina,2020,Quartzo,Escola Pública,Ágata,Ametista,Quartzo,,,,Não,Sem limitações
RA-34,2022,6,6,Fase 7 (3º EM),-1,6.259,9.6,4.8,8.1,,3.8,7.278,5.0,4.7,4.0,2.8,17.0,2005,Menino,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações
RA-35,2022,6,6,Fase 7 (3º EM),-1,8.965,10.0,9.6,9.4,,8.5,10.0,5.0,9.0,7.1,9.3,17.0,2005,Menina,2019,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações
RA-36,2022,6,6,Fase 7 (3º EM),-1,7.876,9.2,9.0,6.9,,6.8,8.944,5.0,8.5,4.3,7.8,17.0,2005,Menina,2019,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações
RA-37,2022,6,6,Fase 7 (3º EM),-1,4.95,0.0,5.4,5.0,,5.9,5.222,5.0,2.3,5.3,10.0,17.0,2005,Menina,2019,Quartzo,Rede Decisão,Ametista,Ágata,Quartzo,,,,Não,Sem limitações
RA-38,2022,6,6,Fase 7 (3º EM),-1,8.523,9.2,8.9,7.5,,8.6,9.833,5.0,9.0,7.0,9.7,17.0,2005,Menina,2017,Topázio,Rede Decisão,Ametista,Ametista,Topázio,,,,Sim,Não indicado
RA-39,2022,6,6,Fase 6 (2º EM),0,6.033,0.0,4.8,6.9,,6.9,6.111,10.0,7.7,5.1,7.8,16.0,2006,Menina,2017,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-40,2022,5,5,Fase 6 (2º EM),-1,7.203,7.9,7.8,7.5,,6.8,7.75,5.0,4.7,7.3,8.4,16.0,2006,Menina,2016,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Não,Sem limitações
RA-41,2022,5,5,Fase 7 (3º EM),-2,5.581,9.2,6.1,5.0,,5.6,4.375,5.0,6.3,2.5,8.0,17.0,2005,Menino,2018,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Requer avaliação
RA-42,2022,5,5,Fase 5 (1º EM),0,6.72,8.3,7.9,5.6,,4.8,6.083,10.0,3.7,4.5,6.2,15.0,2007,Menino,2019,Ágata,Rede Decisão,Topázio,Ametista,Ágata,,,,Não,Requer avaliação
RA-43,2022,5,5,Fase 6 (2º EM),-1,5.486,6.3,6.5,5.6,,4.3,5.958,5.0,4.0,5.8,3.2,16.0,2006,Menina,2019,Quartzo,Escola Pública,Ametista,Ágata,Quartzo,,,,Não,Requer avaliação
RA-44,2022,5,5,Fase 7 (3º EM),-2,5.542,5.0,5.9,7.5,,3.0,7.292,5.0,2.3,3.5,3.2,17.0,2005,Menina,2021,Quartzo,Escola Pública,,Ametista,Quartzo,,,,Não,Sem limitações
RA-45,2022,5,5,Fase 5 (1º EM),0,7.591,7.9,8.9,5.6,,6.8,7.417,10.0,6.3,5.2,8.8,15.0,2007,Menina,2019,Ametista,Rede Decisão,Ametista,Topázio,Ametista,,,,Não,Requer avaliação
RA-46,2022,5,5,Fase 7 (3º EM),-2,6.048,8.8,8.4,6.3,,2.1,7.083,5.0,2.8,2.8,0.7,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações
RA-47,2022,5,5,Fase 7 (3º EM),-2,5.677,7.9,6.3,7.5,,2.1,7.042,5.0,2.5,2.2,1.5,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Sem limitações
RA-48,2022,5,5,Fase 5 (1º EM),0,8.006,6.7,8.4,7.5,,8.1,8.5,10.0,6.7,8.0,9.5,15.0,2007,Menina,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Sim,Sem limitações
RA-49,2022,5,5,Fase 7 (3º EM),-2,6.304,7.5,7.4,7.5,,3.9,7.042,5.0,1.5,4.2,6.2,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações
RA-50,2022,5,5,Fase 8 (Universitários),-3,7.138,7.5,8.4,7.5,,7.8,7.542,2.5,6.5,7.3,9.7,18.0,2004,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Sem limitações
RA-51,2022,5,5,Fase 7 (3º EM),-2,6.488,8.8,7.6,7.5,,5.0,6.5,5.0,4.5,4.5,6.0,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-52,2022,5,5,Fase 3 (7º e 8º ano),2,7.861,9.6,8.9,7.5,,6.2,7.5,10.0,3.3,6.3,8.8,13.0,2009,Menino,2018,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Não,Não atendido
RA-53,2022,5,5,Fase 7 (3º EM),-2,6.725,9.2,7.0,7.5,,7.0,6.458,5.0,6.0,8.0,,17.0,2005,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-54,2022,5,5,Fase 6 (2º EM),-1,6.058,7.9,6.9,7.5,,4.8,6.125,5.0,3.0,6.5,,16.0,2006,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-55,2022,5,5,Fase 6 (2º EM),-1,6.576,7.1,7.6,5.6,,7.5,6.5,5.0,6.7,7.8,7.9,16.0,2006,Menina,2017,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-56,2022,5,5,Fase 5 (1º EM),0,8.404,10.0,10.0,7.5,,7.0,8.25,10.0,4.5,6.5,10.0,15.0,2007,Menina,2019,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Não,Sem limitações
RA-57,2022,5,5,Fase 6 (2º EM),-1,7.305,7.1,8.1,5.6,,8.4,7.875,5.0,9.0,7.0,9.3,16.0,2006,Menino,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Requer avaliação
RA-58,2022,5,5,Fase 5 (1º EM),0,8.136,9.6,9.2,6.3,,7.2,8.125,10.0,4.5,8.0,9.0,15.0,2007,Menino,2017,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Não,Sem limitações
RA-59,2022,5,5,Fase 7 (3º EM),-2,7.642,9.2,9.3,7.5,,7.2,7.917,5.0,7.0,5.7,8.8,17.0,2005,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido
RA-60,2022,5,5,Fase 8 (Universitários),-3,5.537,6.7,6.0,7.5,,4.9,6.167,2.5,5.0,6.2,3.5,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Quartzo,Quartzo,,,,Não,Não atendido
RA-61,2022,5,5,Fase 5 (1º EM),0,7.533,9.2,7.4,7.5,,5.8,7.875,10.0,1.7,6.3,9.3,15.0,2007,Menino,2021,Ametista,Escola Pública,,Ágata,Ametista,,,,Não,Não atendido
RA-62,2022,5,5,Fase 7 (3º EM),-2,7.891,8.8,9.4,7.5,,9.3,7.25,5.0,8.5,10.0,,17.0,2005,Menino,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido
RA-63,2022,5,5,Fase 6 (2º EM),-1,8.282,8.3,9.1,8.8,,8.7,9.417,5.0,8.2,8.2,9.7,16.0,2006,Menino,2018,Topázio,Rede Decisão,Ametista,Ametista,Topázio,,,,Sim,Sem limitações
RA-64,2022,5,5,Fase 6 (2º EM),-1,7.368,7.1,8.1,8.1,,7.5,8.25,5.0,4.8,8.2,9.4,16.0,2006,Menino,2019,Ametista,Escola Pública,Ametista,Topázio,Ametista,,,,Não,Sem limitações
RA-65,2022,5,5,Fase 7 (3º EM),-2,7.712,8.3,7.7,7.5,,9.3,7.875,5.0,9.0,9.5,9.5,17.0,2005,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Não,Não atendido
RA-66,2022,5,5,Fase 7 (3º EM),-2,5.665,7.5,5.6,7.5,,4.5,5.917,5.0,3.0,6.0,,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido
RA-67,2022,5,5,Fase 6 (2º EM),-1,5.195,5.8,3.0,7.5,,3.6,6.889,5.0,3.0,4.2,3.5,16.0,2006,Menina,2019,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Não atendido
RA-68,2022,5,5,Fase 6 (2º EM),-1,6.438,8.3,6.0,7.5,,4.0,7.944,5.0,4.7,4.8,2.7,16.0,2006,Menino,2019,Ágata,Escola Pública,Ametista,Ágata,Ágata,,,,Não,Não atendido
RA-69,2022,5,5,Fase 6 (2º EM),-1,5.718,8.3,6.1,7.5,,2.5,6.167,5.0,4.7,2.6,0.3,16.0,2006,Menino,2018,Quartzo,Escola Pública,Ametista,Ametista,Quartzo,,,,Não,Sem limitações
RA-70,2022,5,5,Fase 6 (2º EM),-1,5.712,8.8,6.6,5.0,,2.9,6.111,5.0,5.7,2.9,0.2,16.0,2006,Menina,2017,Quartzo,Escola Pública,Ágata,Quartzo,Quartzo,,,,Não,Sem limitações
RA-71,2022,5,5,Fase 7 (3º EM),-2,4.332,7.9,2.0,7.5,,1.2,5.833,5.0,1.3,2.2,0.0,17.0,2005,Menina,2019,Quartzo,Escola Pública,Ágata,Ametista,Quartzo,,,,Não,Não atendido
RA-72,2022,5,5,Fase 7 (3º EM),-2,7.64,8.3,7.5,7.5,,7.8,8.667,5.0,7.5,7.8,8.0,17.0,2005,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Não atendido
RA-73,2022,5,5,Fase 7 (3º EM),-2,5.271,7.1,3.0,7.5,,3.3,7.278,5.0,4.5,3.0,2.3,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido
RA-74,2022,5,5,Fase 6 (2º EM),-1,4.989,9.6,3.3,7.5,,2.0,5.833,5.0,6.0,0.0,0.0,16.0,2006,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido
RA-75,2022,5,5,Fase 6 (2º EM),-1,3.915,5.4,3.8,6.3,,0.0,4.625,5.0,0.0,0.0,,16.0,2006,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Sem limitações
RA-76,2022,5,5,Fase 5 (1º EM),0,9.105,10.0,9.1,8.1,,8.7,9.292,10.0,9.3,8.3,8.4,15.0,2007,Menina,2017,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações
RA-77,2022,5,5,Fase 6 (2º EM),-1,3.846,7.1,2.7,5.0,,0.7,4.625,5.0,0.3,1.8,0.0,16.0,2006,Menino,2019,Quartzo,Escola Pública,Quartzo,Quartzo,Quartzo,,,,Não,Não indicado
RA-78,2022,5,5,Fase 7 (3º EM),-2,7.04,8.3,6.6,5.6,,7.2,8.0,5.0,8.7,5.7,7.3,17.0,2005,Menino,2018,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Não,Requer avaliação
RA-79,2022,5,5,Fase 6 (2º EM),-1,6.847,5.4,6.3,5.6,,8.9,7.292,5.0,9.5,7.7,9.5,16.0,2006,Menina,2018,Ágata,Rede Decisão,Ametista,Ágata,Ágata,,,,Não,Requer avaliação
RA-80,2022,5,5,Fase 6 (2º EM),-1,7.29,9.2,8.3,5.0,,7.1,7.625,5.0,6.5,7.7,7.3,16.0,2006,Menina,2017,Ametista,Rede Decisão,Ametista,Topázio,Ametista,,,,Não,Requer avaliação
RA-81,2022,5,5,Fase 4 (9º ano),1,7.675,9.2,9.2,5.0,,6.0,7.458,10.0,5.5,5.2,7.3,14.0,2008,Menina,2017,Ametista,Rede Decisão,Ametista,Topázio,Ametista,,,,Não,Requer avaliação
RA-82,2022,5,5,Fase 7 (3º EM),-2,6.596,8.8,6.8,7.5,,5.5,6.417,5.0,6.0,5.0,,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-83,2022,5,5,Fase 7 (3º EM),-2,6.671,7.9,6.8,7.5,,6.8,5.958,5.0,6.0,7.5,,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-84,2022,5,5,Fase 7 (3º EM),-2,6.682,7.1,8.8,5.0,,5.8,6.75,5.0,5.7,6.5,5.2,17.0,2005,Menina,2018,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-85,2022,5,5,Fase 5 (1º EM),0,6.243,6.7,7.3,5.0,,4.3,5.833,10.0,5.0,3.5,,15.0,2007,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Requer avaliação
RA-86,2022,5,5,Fase 6 (2º EM),-1,7.566,7.5,9.6,5.6,,6.7,8.458,5.0,6.2,7.2,6.9,16.0,2006,Menino,2016,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações
RA-87,2022,5,5,Fase 5 (1º EM),0,8.712,8.3,9.6,7.5,,8.8,8.5,10.0,8.3,8.0,10.0,15.0,2007,Menino,2021,Topázio,Rede Decisão,,Ametista,Topázio,,,,Sim,Não atendido
RA-88,2022,5,5,Fase 7 (3º EM),-2,7.498,7.1,9.2,5.6,,6.5,9.208,5.0,6.8,6.2,6.4,17.0,2005,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Sim,Sem limitações
RA-89,2022,5,5,Fase 6 (2º EM),-1,7.323,9.6,7.8,7.5,,5.9,8.0,5.0,7.5,5.7,4.7,16.0,2006,Menino,2021,Ametista,Escola Pública,,Quartzo,Ametista,,,,Não,Não atendido
RA-90,2022,5,5,Fase 3 (7º e 8º ano),2,9.442,10.0,9.7,9.4,,8.5,9.75,10.0,7.7,8.0,9.8,13.0,2009,Menina,2019,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Sim,Sem limitações
RA-91,2022,5,5,Fase 6 (2º EM),-1,6.645,9.2,5.7,5.6,,6.6,7.125,5.0,5.5,5.7,8.5,16.0,2006,Menina,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-92,2022,5,5,Fase 6 (2º EM),-1,6.957,9.2,7.1,5.0,,7.4,6.667,5.0,7.8,5.5,8.8,16.0,2006,Menina,2016,Ágata,Rede Decisão,Topázio,Ametista,Ágata,,,,Não,Requer avaliação
RA-93,2022,5,5,Fase 5 (1º EM),0,8.941,8.3,9.7,8.1,,8.5,9.083,10.0,8.8,8.3,8.4,15.0,2007,Menina,2016,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações
RA-94,2022,5,5,Fase 5 (1º EM),0,8.921,8.3,9.6,8.1,,7.7,9.583,10.0,7.0,6.7,9.5,15.0,2007,Menina,2018,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações
RA-95,2022,5,5,Fase 7 (3º EM),-2,6.308,8.3,6.6,7.5,,4.8,6.292,5.0,6.0,8.0,0.5,17.0,2005,Menina,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Sem limitações
RA-96,2022,5,5,Fase 6 (2º EM),-1,7.54,9.2,7.8,6.9,,6.7,8.5,5.0,5.7,6.5,8.0,16.0,2006,Menino,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Sim,Sem limitações
RA-97,2022,5,5,Fase 5 (1º EM),0,7.468,7.5,8.8,5.0,,6.9,6.292,10.0,5.3,6.7,8.8,15.0,2007,Menina,2017,Ametista,Rede Decisão,Ametista,Ágata,Ametista,,,,Não,Não indicado
RA-98,2022,5,5,Fase 5 (1º EM),0,9.354,8.8,10.0,9.4,,8.5,9.667,10.0,8.4,8.2,8.9,15.0,2007,Menina,2017,Topázio,Rede Decisão,Topázio,Topázio,Topázio,,,,Sim,Sem limitações
RA-99,2022,5,5,Fase 6 (2º EM),-1,6.158,8.8,6.3,7.5,,5.0,5.833,5.0,5.7,3.4,5.8,16.0,2006,Menino,2019,Ágata,Escola Pública,Ágata,Ágata,Ágata,,,,Não,Não atendido
RA-100,2022,4,4,Fase 3 (7º e 8º ano),1,7.618,8.8,7.8,5.0,,7.6,7.25,10.0,7.0,7.8,8.1,13.0,2009,Menina,2019,Ametista,Rede Decisão,Ametista,Topázio,Ametista,,,,Não,Não indicado
RA-101,2022,4,4,Fase 5 (1º EM),-1,7.305,7.9,8.3,7.5,,7.6,6.833,5.0,7.2,6.5,9.2,15.0,2007,Menina,2021,Ametista,Escola Pública,,Ametista,Ametista,,,,Não,Não atendido
RA-102,2022,4,4,Fase 4 (9º ano),0,6.922,6.7,7.7,6.9,,5.7,6.0,10.0,4.7,6.8,5.5,14.0,2008,Menino,2019,Ágata,Escola Pública,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-103,2022,4,4,Fase 3 (7º e 8º ano),1,8.107,7.9,8.7,7.5,,7.3,7.708,10.0,7.3,7.3,7.3,13.0,2009,Menina,2020,Topázio,Rede Decisão,Ágata,Ametista,Topázio,,,,Não,Não atendido
RA-104,2022,4,4,Fase 8 (Universitários),-4,6.315,7.9,8.7,7.5,,3.7,6.708,2.5,4.8,5.8,0.3,18.0,2004,Menino,2022,Ágata,Escola Pública,,,Ágata,,,,Não,Não atendido
RA-105,2022,4,4,Fase 7 (3º EM),-3,6.846,7.9,8.2,5.6,,6.7,7.417,2.5,7.2,6.2,6.8,17.0,2005,Menino,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Requer avaliação
RA-106,2022,4,4,Fase 5 (1º EM),-1,7.973,9.2,8.0,9.4,,7.4,8.375,5.0,7.8,7.2,7.2,15.0,2007,Menina,2016,Ametista,Rede Decisão,Topázio,Ametista,Ametista,,,,Sim,Sem limitações
RA-107,2022,4,4,Fase 5 (1º EM),-1,6.258,7.5,6.4,7.5,,4.6,6.5,5.0,3.3,4.3,6.0,15.0,2007,Menina,2018,Ágata,Escola Pública,Topázio,Ágata,Ágata,,,,Não,Sem limitações
RA-108,2022,4,4,Fase 7 (3º EM),-3,5.547,4.6,7.7,5.0,,5.0,6.125,2.5,3.0,5.8,6.2,17.0,2005,Menina,2019,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Não indicado
RA-109,2022,4,4,Fase 6 (2º EM),-2,8.512,8.8,10.0,8.8,,8.4,8.667,5.0,7.8,7.5,9.9,16.0,2006,Menino,2021,Topázio,Rede Decisão,,Ametista,Topázio,,,,Sim,Sem limitações
RA-110,2022,4,4,Fase 4 (9º ano),0,8.15,9.2,9.7,5.6,,6.7,8.0,10.0,8.3,5.7,6.0,14.0,2008,Menino,2017,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Não,Requer avaliação
RA-111,2022,4,4,Fase 3 (7º e 8º ano),1,8.646,7.5,9.4,8.1,,8.0,8.667,10.0,6.7,7.5,9.7,13.0,2009,Menina,2020,Topázio,Rede Decisão,Ametista,Topázio,Topázio,,,,Sim,Sem limitações
RA-112,2022,4,4,Fase 5 (1º EM),-1,7.836,7.9,7.8,6.3,,8.5,8.833,5.0,9.0,7.5,9.1,15.0,2007,Menina,2016,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Sim,Sem limitações
RA-113,2022,4,4,Fase 5 (1º EM),-1,3.032,0.0,0.0,5.0,,3.7,3.792,5.0,3.3,5.5,2.3,15.0,2007,Menina,2017,Quartzo,Rede Decisão,Ametista,Ágata,Quartzo,,,,Não,Não indicado
RA-114,2022,4,4,Fase 6 (2º EM),-2,5.894,7.9,6.3,7.5,,5.3,5.0,5.0,6.0,4.5,,16.0,2006,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Sem limitações
RA-115,2022,4,4,Fase 6 (2º EM),-2,5.886,8.3,6.8,6.3,,3.8,5.583,5.0,3.0,5.7,2.7,16.0,2006,Menina,2019,Quartzo,Escola Pública,Ametista,Ametista,Quartzo,,,,Não,Requer avaliação
